118.125444261, -46.138238617, 78.3752163257, 58.330348393, 1490714207.69
118.06293437, -46.1358480508, 80.6241394687, 57.8066625648, 1490714208.69
118.000424479, -46.1334472393, 82.9155737766, 57.4265899555, 1490714209.69
117.937914587, -46.1310430128, 85.2335824568, 57.1920294162, 1490714210.69
117.875404696, -46.128631956, 87.5616266485, 57.104191497, 1490714211.69
117.812894805, -46.1262174841, 89.8827697235, 57.1625990858, 1490714212.69
117.750384914, -46.123796182, -87.8197270656, 57.3658586957, 1490714213.69
117.687875022, -46.1213714649, -85.5619658447, 57.7109257722, 1490714214.69
117.625378791, -46.1189399175, -83.359496688, 58.1938826764, 1490714215.69
117.5628689, -46.11650154, -81.2249926148, 58.8098094229, 1490714216.69
117.500359009, -46.1140597474, -79.1708482416, 59.5524935282, 1490714217.69
117.437862778, -46.1116111246, -77.2077149263, 60.4152570731, 1490714218.69
117.375366547, -46.1091590867, -75.3433205678, 61.3907982887, 1490714219.69
117.312856656, -46.1067002186, -73.5838478002, 62.471881913, 1490714220.69
117.250360425, -46.1042345203, -71.9349007057, 63.6502069896, 1490714221.69
117.187864194, -46.1017654069, -70.3991990136, 64.917834198, 1490714222.69
117.125367963, -46.0992928784, -68.9786611142, 66.2668049412, 1490714223.69
117.062871732, -46.0968101046, -67.6744070953, 67.6895215353, 1490714224.69
117.000375501, -46.0943239158, -66.4860654091, 69.1779806345, 1490714225.69
116.937892931, -46.0918343118, -65.4130941355, 70.724361652, 1490714226.69
116.8753967, -46.0893378777, -64.4538387967, 72.322151865, 1490714227.69
116.812900469, -46.0868346133, -63.6069243271, 73.9640047856, 1490714228.69
116.750417898, -46.0843279339, -62.8704762861, 75.6426975586, 1490714229.69
116.687921667, -46.0818144243, -62.2423102056, 77.3525077375, 1490714230.69
116.625439097, -46.0792974996, -61.7205764163, 79.0863505068, 1490714231.69
116.562956526, -46.0767737447, -61.3033384833, 80.8385842758, 1490714232.69
116.500473956, -46.0742465747, -60.9885709362, 82.6032710727, 1490714233.69
116.437991385, -46.0717125745, -60.7747736132, 84.3747472563, 1490714234.69
116.375508815, -46.0691717442, -60.6604251049, 86.1474228397, 1490714235.69
116.313026244, -46.0666274987, -60.6439857722, 87.9158074522, 1490714236.69
116.250543674, -46.0640798381, -60.7242868897, 89.6745417815, 1490714237.69
116.188061103, -46.0615219323, -60.9007184364, 91.4183114139, 1490714238.69
116.125578533, -46.0589640264, -61.1718381826, 93.1418530082, 1490714239.69
116.063109622, -46.0563958753, -61.5374338148, 94.8394976471, 1490714240.69
116.000627052, -46.0538277242, -61.9963562352, 96.5068201386, 1490714241.69
115.938158142, -46.0512493278, -62.5484168381, 98.1377147599, 1490714242.69
115.875689232, -46.0486675163, -63.1926313553, 99.7273541231, 1490714243.69
115.813220321, -46.0460822897, -63.928257747, 101.270455192, 1490714244.69
115.750737751, -46.0434902329, -64.7547367374, 102.761965571, 1490714245.69
115.688268841, -46.0408913459, -65.6706155722, 104.195860982, 1490714246.69
115.625799931, -46.0382890438, -66.6743827278, 105.567249578, 1490714247.69
115.563344681, -46.0356833267, -67.7639402972, 106.870556329, 1490714248.69
115.500875771, -46.0330707793, -68.9374887156, 108.101049091, 1490714249.69
115.438406861, -46.0304514018, -70.1918356377, 109.253277302, 1490714250.69
115.375951611, -46.0278286091, -71.5228923031, 110.322149291, 1490714251.69
115.313482701, -46.0251989863, -72.9269375439, 111.303285271, 1490714252.69
115.251027451, -46.0225659484, -74.3980649945, 112.191875422, 1490714253.69
115.188558541, -46.0199260802, -75.9309730637, 112.984077528, 1490714254.69
115.126103291, -46.017282797, -77.5180477763, 113.675945461, 1490714255.69
115.063648041, -46.0146326836, -79.1520358288, 114.264311769, 1490714256.69
115.001192791, -46.0119791551, -80.8244264885, 114.746705553, 1490714257.69
114.938737542, -46.0093187965, -82.5262420595, 115.120930077, 1490714258.69
114.876282292, -46.0066550227, -84.247831969, 115.385833645, 1490714259.69
114.813827042, -46.0039844187, -85.9793114308, 115.540611452, 1490714260.69
114.751371792, -46.0013103997, -87.7105130871, 115.585581874, 1490714261.69
114.688930203, -45.9986295504, -89.4309702004, 115.521418923, 1490714262.69
114.626474953, -45.9959452861, 88.8685057438, 115.349968159, 1490714263.69
114.564033364, -45.9932541915, 87.1982096289, 115.073359322, 1490714264.69
114.501584944, -45.9905596819, 85.5665821872, 114.694741999, 1490714265.69
114.439136525, -45.9878583421, 83.9821854888, 114.217510822, 1490714266.69
114.376694935, -45.9851535872, 82.4527156064, 113.646021546, 1490714267.69
114.314253346, -45.9824420021, 80.9847821477, 112.984627633, 1490714268.69
114.251811756, -45.9797270019, 79.5841648248, 112.238464786, 1490714269.69
114.189370167, -45.9770051715, 78.2559231672, 111.412611192, 1490714270.69
114.126928578, -45.974279926, 77.0040768014, 110.512727032, 1490714271.69
114.064493818, -45.9715478503, 75.8321772258, 109.544391449, 1490714272.69
114.002059059, -45.9688123596, 74.7425131607, 108.513434208, 1490714273.69
113.9396243, -45.9660734537, 73.73695571, 107.425641597, 1490714274.69
113.877189541, -45.9633243026, 72.8170852942, 106.286539567, 1490714275.69
113.814754782, -45.9605751514, 71.983236849, 105.102305199, 1490714276.69
113.752320022, -45.9578191701, 71.2360490922, 103.878380268, 1490714277.69
113.689892093, -45.9550563586, 70.5755936504, 102.620536338, 1490714278.69
113.627464164, -45.952290132, 70.0012874081, 101.334289351, 1490714279.69
113.565036235, -45.9495204903, 69.5125733769, 100.025047095, 1490714280.69
113.502608306, -45.9467440184, 69.1088968316, 98.6980336981, 1490714281.69
